,Name,Rating,CFRA Star Ranking,Credit Suisse,Morningstar,Argus Rating,Reuters,ticker
0,AIR PROD & CHEMICALS,D,5/5,Outperform,4/5,Buy,Outperform,APD
1,ARCH RES INC DEL,B,,,,,Outperform,ARCH
2,BLUELINX HOLDINGS,C,,,,,Outperform,BXC
3,COMSTOCK RES INC,B,,,,,Outperform,CRK
4,CRESCENT PT ENERGY F,A,3/5,,,,Outperform,CPG
5,EXXON MOBIL CORP,C,4/5,Outperform,3/5,Buy,Outperform,XOM
6,GOLDMAN SACHS GROUP,A,4/5,Outperform,4/5,Hold,Outperform,GS
7,GRINDROD SHIPPING HOLD F,NC,,,,,Outperform,GRIN
8,MICROSOFT CORP,A,5/5,Outperform,4/5,Buy,Outperform,MSFT
9,PHOTRONICS INC,A,,,,,Outperform,PLAB
10,SPDR S&P 500,Rating,,,,,,SPY
11,U S A TRUCK INC,NC,,,,,Outperform,USAK
12,VALERO ENERGY CORP,C,3/5,Outperform,3/5,Buy,Outperform,VLO
13,VISA INC CL A,B,4/5,Outperform,3/5,Buy,Outperform,V
14,WEYERHAEUSER CO,B,3/5,,,Hold,Outperform,WY
